_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs/0/WhPerMile,userInputs/0/kWhRequested,userInputs/0/milesRequested,userInputs/0/minutesAvailable,userInputs/0/modifiedAt,userInputs/0/paymentRequired,userInputs/0/requestedDeparture,userInputs/0/userID,userInputs/0,userInputs/1/WhPerMile,userInputs/1/kWhRequested,userInputs/1/milesRequested,userInputs/1/minutesAvailable,userInputs/1/modifiedAt,userInputs/1/paymentRequired,userInputs/1/requestedDeparture,userInputs/1/userID,userInputs/2/WhPerMile,userInputs/2/kWhRequested,userInputs/2/milesRequested,userInputs/2/minutesAvailable,userInputs/2/modifiedAt,userInputs/2/paymentRequired,userInputs/2/requestedDeparture,userInputs/2/userID,userInputs/3/WhPerMile,userInputs/3/kWhRequested,userInputs/3/milesRequested,userInputs/3/minutesAvailable,userInputs/3/modifiedAt,userInputs/3/paymentRequired,userInputs/3/requestedDeparture,userInputs/3/userID,userInputs/4/WhPerMile,userInputs/4/kWhRequested,userInputs/4/milesRequested,userInputs/4/minutesAvailable,userInputs/4/modifiedAt,userInputs/4/paymentRequired,userInputs/4/requestedDeparture,userInputs/4/userID,userInputs/5/WhPerMile,userInputs/5/kWhRequested,userInputs/5/milesRequested,userInputs/5/minutesAvailable,userInputs/5/modifiedAt,userInputs/5/paymentRequired,userInputs/5/requestedDeparture,userInputs/5/userID,userInputs/6/WhPerMile,userInputs/6/kWhRequested,userInputs/6/milesRequested,userInputs/6/minutesAvailable,userInputs/6/modifiedAt,userInputs/6/paymentRequired,userInputs/6/requestedDeparture,userInputs/6/userID,userInputs/7/WhPerMile,userInputs/7/kWhRequested,userInputs/7/milesRequested,userInputs/7/minutesAvailable,userInputs/7/modifiedAt,userInputs/7/paymentRequired,userInputs/7/requestedDeparture,userInputs/7/userID,userInputs/8/WhPerMile,userInputs/8/kWhRequested,userInputs/8/milesRequested,userInputs/8/minutesAvailable,userInputs/8/modifiedAt,userInputs/8/paymentRequired,userInputs/8/requestedDeparture,userInputs/8/userID,userInputs/9/WhPerMile,userInputs/9/kWhRequested,userInputs/9/milesRequested,userInputs/9/minutesAvailable,userInputs/9/modifiedAt,userInputs/9/paymentRequired,userInputs/9/requestedDeparture,userInputs/9/userID
5fdd57b1f9af8b16e6675dc6,39,"Wed, 18 Nov 2020 21:37:02 GMT","Thu, 19 Nov 2020 02:29:15 GMT","Wed, 18 Nov 2020 22:45:41 GMT",2.237,2_39_78_365_2020-11-18 21:37:01.529096,2,CA-321,2-39-78-365,America/Los_Angeles,1082.0,290.0,5.8,20.0,120.0,"Wed, 18 Nov 2020 21:37:37 GMT",True,"Wed, 18 Nov 2020 23:37:02 GMT",1082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dc7,39,"Wed, 18 Nov 2020 23:36:26 GMT","Thu, 19 Nov 2020 00:02:37 GMT",,4.816,2_39_81_4550_2020-11-18 23:36:26.012461,2,11900388,2-39-81-4550,America/Los_Angeles,7132.0,274.0,8.22,30.0,480.0,"Wed, 18 Nov 2020 23:36:42 GMT",True,"Thu, 19 Nov 2020 07:36:26 GMT",7132.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dc8,39,"Thu, 19 Nov 2020 00:35:54 GMT","Thu, 19 Nov 2020 01:31:08 GMT",,10.027,2_39_81_4550_2020-11-19 00:35:53.924922,2,11900388,2-39-81-4550,America/Los_Angeles,4903.0,258.0,51.6,200.0,576.0,"Thu, 19 Nov 2020 00:36:25 GMT",True,"Thu, 19 Nov 2020 10:11:54 GMT",4903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dc9,39,"Thu, 19 Nov 2020 01:34:02 GMT","Thu, 19 Nov 2020 02:45:14 GMT",,24.486,2_39_81_4550_2020-11-19 01:33:46.845927,2,11900388,2-39-81-4550,America/Los_Angeles,4903.0,258.0,51.6,200.0,576.0,"Thu, 19 Nov 2020 01:34:02 GMT",True,"Thu, 19 Nov 2020 11:10:02 GMT",4903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dca,39,"Thu, 19 Nov 2020 02:07:56 GMT","Thu, 19 Nov 2020 03:51:11 GMT","Thu, 19 Nov 2020 03:51:02 GMT",11.507,2_39_128_18_2020-11-19 02:07:56.420183,2,CA-308,2-39-128-18,America/Los_Angeles,1085.0,283.0,56.6,200.0,589.0,"Thu, 19 Nov 2020 02:08:02 GMT",True,"Thu, 19 Nov 2020 11:56:56 GMT",1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dcb,39,"Thu, 19 Nov 2020 02:09:24 GMT","Thu, 19 Nov 2020 04:01:31 GMT","Thu, 19 Nov 2020 04:01:23 GMT",6.334,2_39_130_31_2020-11-19 02:09:24.413029,2,CA-306,2-39-130-31,America/Los_Angeles,1395.0,250.0,7.5,30.0,488.0,"Thu, 19 Nov 2020 02:10:42 GMT",True,"Thu, 19 Nov 2020 10:17:24 GMT",1395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dcc,39,"Thu, 19 Nov 2020 03:52:00 GMT","Thu, 19 Nov 2020 04:00:50 GMT",,4.788,2_39_81_4550_2020-11-19 03:51:59.755295,2,11900388,2-39-81-4550,America/Los_Angeles,1085.0,283.0,56.6,200.0,589.0,"Thu, 19 Nov 2020 03:52:50 GMT",True,"Thu, 19 Nov 2020 13:41:00 GMT",1085.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b1f9af8b16e6675dcd,39,"Thu, 19 Nov 2020 04:24:11 GMT","Thu, 19 Nov 2020 05:07:15 GMT",,30.849,2_39_81_4550_2020-11-19 04:24:10.706432,2,11900388,2-39-81-4550,America/Los_Angeles,9284.0,400.0,40.0,100.0,30.0,"Thu, 19 Nov 2020 04:24:50 GMT",True,"Thu, 19 Nov 2020 04:54:11 GMT",9284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b3f9af8b16e6675dce,39,"Thu, 19 Nov 2020 21:33:17 GMT","Fri, 20 Nov 2020 02:47:16 GMT","Thu, 19 Nov 2020 22:40:02 GMT",2.245,2_39_78_365_2020-11-19 21:33:17.369860,2,CA-321,2-39-78-365,America/Los_Angeles,1082.0,290.0,5.8,20.0,120.0,"Thu, 19 Nov 2020 21:33:54 GMT",True,"Thu, 19 Nov 2020 23:33:17 GMT",1082.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5fdd57b3f9af8b16e6675dcf,39,"Thu, 19 Nov 2020 23:28:16 GMT","Fri, 20 Nov 2020 01:47:22 GMT","Fri, 20 Nov 2020 01:47:18 GMT",7.738,2_39_91_437_2020-11-19 23:28:16.238693,2,CA-317,2-39-91-437,America/Los_Angeles,2170.0,310.0,12.4,40.0,120.0,"Thu, 19 Nov 2020 23:28:30 GMT",True,"Fri, 20 Nov 2020 01:28:16 GMT",2170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
